Line,Direction,StationFrom,StationTo,Distance,UnimpededRunningTime,AMPeakRunningTime,InterPeakRunningTime
Piccadilly ,Eastbound,Earls Court,Gloucester Road,0.78,1.37,1.5,1.5
Piccadilly ,Eastbound,Gloucester Road,South Kensington,0.7,1.28,1.5,1.5
Piccadilly ,Eastbound,South Kensington,Knightsbridge,1.22,2.48,3,3
Piccadilly ,Eastbound,Knightsbridge,Hyde Park Corner,0.51,1.1,1.5,1.5
Piccadilly ,Eastbound,Hyde Park Corner,Green Park,1.06,1.73,2,2.02
Piccadilly ,Eastbound,Green Park,Piccadilly Circus,0.56,1.1,1.5,1.5
Piccadilly ,Eastbound,Piccadilly Circus,Leicester Square,0.49,1.17,1.5,1.5
Piccadilly ,Eastbound,Leicester Square,Covent Garden,0.25,0.77,1,1.01
Piccadilly ,Eastbound,Covent Garden,Holborn,0.59,1.4,1.5,1.5
Piccadilly ,Eastbound,Holborn,Russell Square,0.72,1.55,2,2
Piccadilly ,Eastbound,Russell Square,King's Cross,0.91,1.9,2.47,2.05
Piccadilly ,Eastbound,King's Cross,Caledonian Road,1.96,2.88,3.5,3.5
Piccadilly ,Eastbound,Caledonian Road,Holloway Road,0.59,1.18,1.5,1.5
Piccadilly ,Eastbound,Holloway Road,Arsenal,0.74,1.28,1.5,1.5
Piccadilly ,Eastbound,Arsenal,Finsbury Park,0.69,1.38,1.5,1.5
Piccadilly ,Eastbound,Finsbury Park,Manor House,1.04,1.55,2,2
Piccadilly ,Eastbound,Manor House,Turnpike Lane,2.31,2.88,3,3
Piccadilly ,Eastbound,Turnpike Lane,Wood Green,0.98,1.57,2,2.02
Piccadilly ,Eastbound,Wood Green,Bounds Green,1.52,2.23,2.5,2.5
Piccadilly ,Eastbound,Bounds Green,Arnos Grove,1.25,2.58,3.62,3.91
Piccadilly ,Eastbound,Arnos Grove,Southgate,1.94,2.8,2.52,2.51
Piccadilly ,Eastbound,Southgate,Oakwood,1.86,2.48,3.9,3.51
Piccadilly ,Eastbound,Oakwood,Cockfosters,1.27,2.83,3,3.09
Piccadilly ,Westbound,Cockfosters,Oakwood,1.27,2.27,2.6,2.45
Piccadilly ,Westbound,Oakwood,Southgate,1.86,2.37,2.5,2.5
Piccadilly ,Westbound,Southgate,Arnos Grove,1.94,3.28,4.31,4.35
Piccadilly ,Westbound,Arnos Grove,Bounds Green,1.25,2.25,2,2
Piccadilly ,Westbound,Bounds Green,Wood Green,1.52,2.2,2.5,2.57
Piccadilly ,Westbound,Wood Green,Turnpike Lane,0.98,1.52,1.5,1.5
Piccadilly ,Westbound,Turnpike Lane,Manor House,2.31,2.87,3,3
Piccadilly ,Westbound,Manor House,Finsbury Park,1.04,1.67,2.49,2
Piccadilly ,Westbound,Finsbury Park,Arsenal,0.69,1.35,1.5,1.5
Piccadilly ,Westbound,Arsenal,Holloway Road,0.74,1.3,1.5,1.5
Piccadilly ,Westbound,Holloway Road,Caledonian Road,0.59,1.2,1.5,1.5
Piccadilly ,Westbound,Caledonian Road,King's Cross,1.96,2.78,4,3.52
Piccadilly ,Westbound,King's Cross,Russell Square,0.91,1.67,2,2
Piccadilly ,Westbound,Russell Square,Holborn,0.72,1.37,1.5,1.5
Piccadilly ,Westbound,Holborn,Covent Garden,0.59,1.53,2,2
Piccadilly ,Westbound,Covent Garden,Leicester Square,0.25,0.77,1,1
Piccadilly ,Westbound,Leicester Square,Piccadilly Circus,0.49,1.07,1.5,1.5
Piccadilly ,Westbound,Piccadilly Circus,Green Park,0.56,1.18,1.5,1.5
Piccadilly ,Westbound,Green Park,Hyde Park Corner,1.06,1.73,2.48,2.02
Piccadilly ,Westbound,Hyde Park Corner,Knightsbridge,0.51,1.12,1.5,1.5
Piccadilly ,Westbound,Knightsbridge,South Kensington,1.22,2.23,2.5,2.5
Piccadilly ,Westbound,South Kensington,Gloucester Road,0.7,1.37,1.5,1.5
Piccadilly ,Westbound,Gloucester Road,Earls Court,0.78,1.37,1.5,1.5
Piccadilly ,Westbound,Earls Court,Barons Court,1.62,2.68,3,3
Piccadilly ,Westbound,Barons Court,Hammersmith,0.68,1.32,2,2
Piccadilly ,Westbound,Hammersmith,Acton Town,4.42,4.7,6.67,6.87
Piccadilly ,Westbound,Acton Town,South Ealing,2.2,2.8,3.08,3.02
Piccadilly ,Westbound,South Ealing,Northfields,0.38,0.95,2.87,1.98
Piccadilly ,Westbound,Northfields,Boston Manor,0.99,1.55,2,2
Piccadilly ,Westbound,Boston Manor,Osterley,2.42,2.85,3,3
Piccadilly ,Westbound,Osterley,Hounslow East,0.96,1.52,2,2
Piccadilly ,Westbound,Hounslow East,Hounslow Central,0.74,1.27,1.5,1.5
Piccadilly ,Westbound,Hounslow Central,Hounslow West,1.46,1.85,2,2
Piccadilly ,Westbound,Hounslow West,Hatton Cross,2.91,3.3,5.5,5.5
Piccadilly ,Westbound,Hatton Cross,Heathrow Airport Terminal 4,1.83,2.1,2.5,2.5
Piccadilly ,Westbound,Heathrow Airport Terminal 4,Heathrow Airport Terminal 1 2 & 3,4.31,4.63,5,5
Piccadilly ,Westbound,Acton Town,Ealing Common,1.03,1.72,2.02,2.01
Piccadilly ,Westbound,Ealing Common,North Ealing,0.94,1.88,2,2
Piccadilly ,Westbound,North Ealing,Park Royal,1.06,1.67,2,2
Piccadilly ,Westbound,Park Royal,Alperton,1.97,2.37,2.5,2.5
Piccadilly ,Westbound,Alperton,Sudbury Town,1.57,2.03,2.5,2.5
Piccadilly ,Westbound,Sudbury Town,Sudbury Hill,1.65,2.25,2.5,2.5
Piccadilly ,Westbound,Sudbury Hill,South Harrow,1.36,2.05,3.91,2.75
Piccadilly ,Westbound,South Harrow,Rayners Lane,1.89,2.4,3.43,3.06
Piccadilly ,Westbound,Rayners Lane,Eastcote,1.72,2.2,2.5,2.5
Piccadilly ,Westbound,Eastcote,Ruislip Manor,1.14,1.73,2,2
Piccadilly ,Westbound,Ruislip Manor,Ruislip,0.72,1.27,1.95,1.5
Piccadilly ,Westbound,Ruislip,Ickenham,1.85,2.23,2.5,2.5
Piccadilly ,Westbound,Ickenham,Hillingdon,1.08,1.58,2,2
Piccadilly ,Westbound,Hillingdon,Uxbridge,2.03,3.7,3.92,3.5
Metropolitan,Westbound,Aldgate,Liverpool Street,0.61,1.75,2,2.38
Metropolitan,Westbound,Liverpool Street,Moorgate,0.51,1.32,1.5,1.5
Metropolitan,Westbound,Moorgate,Barbican,0.63,1.38,1.5,1.5
Metropolitan,Westbound,Barbican,Farringdon,0.51,1.2,1.95,1.5
Metropolitan,Westbound,Farringdon,King's Cross,1.85,3.12,3.5,3.5
Metropolitan,Westbound,King's Cross,Euston Square,0.85,1.65,2,2
Metropolitan,Westbound,Euston Square,Great Portland Street,0.61,1.3,1.5,1.5
Metropolitan,Westbound,Great Portland Street,Baker Street,0.92,2.23,4.08,3.82
Metropolitan,Westbound,Baker Street,Finchley Road,3.38,5.55,5.55,5.51
Metropolitan,Westbound,Finchley Road,Wembley Park,7.24,7.05,6.95,7
Metropolitan,Westbound,Wembley Park,Preston Road,1.46,2.12,2.5,2.5
Metropolitan,Westbound,Preston Road,Northwick Park,1.64,2.3,2.5,2.5
Metropolitan,Westbound,Northwick Park,Harrow on the Hill,1.29,2.32,4.53,3.03
Metropolitan,Westbound,Finchley Road,Harrow on the Hill,11.63,11.02,11,11
Metropolitan,Westbound,Harrow on the Hill,West Harrow,1.26,2.32,2,2
Metropolitan,Westbound,West Harrow,Rayners Lane,1.38,2.05,2.57,2.5
Metropolitan,Westbound,Rayners Lane,Eastcote,1.72,2.23,2.52,2.5
Metropolitan,Westbound,Eastcote,Ruislip Manor,1.14,1.82,2.02,2
Metropolitan,Westbound,Ruislip Manor,Ruislip,0.72,1.35,1.52,1.5
Metropolitan,Westbound,Ruislip,Ickenham,1.85,2.57,2.6,2.5
Metropolitan,Westbound,Ickenham,Hillingdon,1.08,1.75,2,2
Metropolitan,Westbound,Hillingdon,Uxbridge,2.03,4.08,4.02,3.54
Metropolitan,Westbound,Harrow on the Hill,North Harrow,2,3.18,3,3
Metropolitan,Westbound,North Harrow,Pinner,1.48,2,2.5,2.5
Metropolitan,Westbound,Pinner,Northwood Hills,2.08,2.6,2.5,2.5
Metropolitan,Westbound,Northwood Hills,Northwood,1.61,2.23,2.5,2.5
Metropolitan,Westbound,Northwood,Moor Park,2.22,2.55,3,3
Metropolitan,Westbound,Harrow on the Hill,Moor Park,9.39,9.03,9.5,9.5
Metropolitan,Westbound,Moor Park,Croxley,2.94,4.33,4.5,4.5
Metropolitan,Westbound,Croxley,Watford,1.9,3.6,3.6,3.5
Metropolitan,Westbound,Moor Park,Rickmansworth,3.49,4.13,5,5
Metropolitan,Westbound,Rickmansworth,Chorleywood,3.38,4.03,4,4
Metropolitan,Westbound,Chorleywood,Chalfont & Latimer,3.43,3.95,4.68,4.5
Metropolitan,Westbound,Chalfont & Latimer,Chesham,6.19,9.48,8.64,8.5
Metropolitan,Westbound,Chalfont & Latimer,Amersham,3.27,4.07,4,4
Metropolitan,Eastbound,Amersham,Chalfont & Latimer,3.27,3.65,4,4
Metropolitan,Eastbound,Chesham,Chalfont & Latimer,6.19,9.63,9,8.5
Metropolitan,Eastbound,Chalfont & Latimer,Chorleywood,3.43,3.68,4,4
Metropolitan,Eastbound,Chorleywood,Rickmansworth,3.38,4.07,4.5,4.58
Metropolitan,Eastbound,Rickmansworth,Moor Park,3.49,3.78,4.5,4.5
Metropolitan,Eastbound,Watford,Croxley,1.9,3.22,3,3
Metropolitan,Eastbound,Croxley,Moor Park,2.94,4.42,4,4
Metropolitan,Eastbound,Moor Park,Northwood,2.22,2.87,3,3
Metropolitan,Eastbound,Northwood,Northwood Hills,1.61,2.2,2.5,2.5
Metropolitan,Eastbound,Northwood Hills,Pinner,2.08,2.48,2.5,2.5
Metropolitan,Eastbound,Pinner,North Harrow,1.48,2.08,2.85,2.5
Metropolitan,Eastbound,North Harrow,Harrow on the Hill,2,3.08,4.57,4.49
Metropolitan,Eastbound,Moor Park,Harrow on the Hill,9.39,9.62,10,10
Metropolitan,Eastbound,Uxbridge,Hillingdon,2.03,3,3,3
Metropolitan,Eastbound,Hillingdon,Ickenham,1.08,1.73,2,2
Metropolitan,Eastbound,Ickenham,Ruislip,1.85,2.45,2.5,2.5
Metropolitan,Eastbound,Ruislip,Ruislip Manor,0.72,1.45,1.5,1.5
Metropolitan,Eastbound,Ruislip Manor,Eastcote,1.14,1.82,2,2
Metropolitan,Eastbound,Eastcote,Rayners Lane,1.72,2.33,3,3
Metropolitan,Eastbound,Rayners Lane,West Harrow,1.38,2.08,2,2
Metropolitan,Eastbound,West Harrow,Harrow on the Hill,1.26,2.15,3.85,4
Metropolitan,Eastbound,Harrow on the Hill,Finchley Road,11.63,10.15,11.5,11.5
Metropolitan,Eastbound,Harrow on the Hill,Northwick Park,1.29,1.9,2,2
Metropolitan,Eastbound,Northwick Park,Preston Road,1.64,2.05,2.35,2
Metropolitan,Eastbound,Preston Road,Wembley Park,1.46,1.98,2.55,2.53
Metropolitan,Eastbound,Wembley Park,Finchley Road,7.24,7,7.32,7.52
Metropolitan,Eastbound,Finchley Road,Baker Street,3.38,6.13,7.11,6.4
Metropolitan,Eastbound,Baker Street,Great Portland Street,0.92,1.98,2,2
Metropolitan,Eastbound,Great Portland Street,Euston Square,0.61,1.25,1.5,1.5
Metropolitan,Eastbound,Euston Square,King's Cross,0.85,1.75,2,2
Metropolitan,Eastbound,King's Cross,Farringdon,1.85,2.98,3.5,3.5
Metropolitan,Eastbound,Farringdon,Barbican,0.51,1.22,1.5,1.5
Metropolitan,Eastbound,Barbican,Moorgate,0.63,1.32,1.5,1.5
Metropolitan,Eastbound,Moorgate,Liverpool Street,0.51,1.18,1.99,1.53
Metropolitan,Eastbound,Liverpool Street,Aldgate,0.61,2.18,2.01,2.2
H & C,Eastbound,Hammersmith,Goldhawk Road,0.82,2.05,2,2
H & C,Eastbound,Goldhawk Road,Shepherd's Bush,0.51,1.15,1.5,1.5
H & C,Eastbound,Shepherd's Bush,Latimer Road,1.01,1.63,2,2
H & C,Eastbound,Latimer Road,Ladbroke Grove,0.66,1.37,1.5,1.5
H & C,Eastbound,Ladbroke Grove,Westbourne Park,0.79,1.48,1.5,1.5
H & C,Eastbound,Westbourne Park,Royal Oak,0.98,1.78,2,2
H & C,Eastbound,Royal Oak,Paddington,0.64,1.52,2,2
H & C,Eastbound,Paddington,Edgware Road,0.93,2.33,3.71,3.72
H & C,Eastbound,Edgware Road,Baker Street,0.72,1.47,2.84,2.5
H & C,Eastbound,Baker Street,Great Portland Street,0.92,1.9,2,2
H & C,Eastbound,Great Portland Street,Euston Square,0.61,1.25,1.5,1.5
H & C,Eastbound,Euston Square,King's Cross,0.85,1.75,2,2
H & C,Eastbound,King's Cross,Farringdon,1.85,2.98,3.5,3.5
H & C,Eastbound,Farringdon,Barbican,0.51,1.22,1.5,1.5
H & C,Eastbound,Barbican,Moorgate,0.64,1.32,1.53,1.5
H & C,Eastbound,Moorgate,Liverpool Street,0.51,1.18,1.95,1.51
H & C,Eastbound,Liverpool Street,Aldgate East,0.92,1.93,3.14,2.78
H & C,Eastbound,Aldgate East,Whitechapel,0.82,2.17,2.5,2.01
H & C,Eastbound,Whitechapel,Stepney Green,1,2.05,2,2
H & C,Eastbound,Stepney Green,Mile End,1.05,1.73,2,2
H & C,Eastbound,Mile End,Bow Road,0.55,1.27,1.5,1.5
H & C,Eastbound,Bow Road,Bromley by Bow,1.01,2.12,2,2
H & C,Eastbound,Bromley by Bow,West Ham,1.37,2,2,2
H & C,Eastbound,West Ham,Plaistow,0.76,1.43,2.26,2.04
H & C,Eastbound,Plaistow,Upton Park,1.29,1.97,2,2
H & C,Eastbound,Upton Park,East Ham,1.4,2.02,2,2
H & C,Eastbound,East Ham,Barking,2.29,3.78,3.6,3.49
H & C,Westbound,Barking,East Ham,2.29,2.87,3,3
H & C,Westbound,East Ham,Upton Park,1.4,2,2.5,2.5
H & C,Westbound,Upton Park,Plaistow,1.29,1.93,2,2
H & C,Westbound,Plaistow,West Ham,0.76,1.5,1.5,1.5
H & C,Westbound,West Ham,Bromley by Bow,1.37,2.12,2,2
H & C,Westbound,Bromley by Bow,Bow Road,1.01,2.23,2.5,2.5
H & C,Westbound,Bow Road,Mile End,0.55,1.27,1.5,1.5
H & C,Westbound,Mile End,Stepney Green,1.05,1.72,2,2
H & C,Westbound,Stepney Green,Whitechapel,1,2.63,3.48,2.56
H & C,Westbound,Whitechapel,Aldgate East,0.82,2.18,2.45,2.06
H & C,Westbound,Aldgate East,Liverpool Street,0.92,2.12,3.02,3.88
H & C,Westbound,Liverpool Street,Moorgate,0.51,1.32,1.5,1.5
H & C,Westbound,Moorgate,Barbican,0.64,1.38,1.5,1.5
H & C,Westbound,Barbican,Farringdon,0.51,1.2,1.92,1.51
H & C,Westbound,Farringdon,King's Cross,1.85,3.12,3.5,3.5
H & C,Westbound,King's Cross,Euston Square,0.85,1.65,2,2
H & C,Westbound,Euston Square,Great Portland Street,0.61,1.3,1.5,1.5
H & C,Westbound,Great Portland Street,Baker Street,0.92,1.57,2.9,2.07
H & C,Westbound,Baker Street,Edgware Road,0.72,1.88,3.6,3.08
H & C,Westbound,Edgware Road,Paddington,0.93,2.08,2,2
H & C,Westbound,Paddington,Royal Oak,0.64,1.33,1.5,1.5
H & C,Westbound,Royal Oak,Westbourne Park,0.98,1.72,2,2
H & C,Westbound,Westbourne Park,Ladbroke Grove,0.79,1.48,1.5,1.5
H & C,Westbound,Ladbroke Grove,Latimer Road,0.66,1.28,1.5,1.5
H & C,Westbound,Latimer Road,Shepherd's Bush,1.01,1.7,2,2
H & C,Westbound,Shepherd's Bush,Goldhawk Road,0.51,1.15,1,1
H & C,Westbound,Goldhawk Road,Hammersmith,0.82,2.43,3.07,3.03
Circle ,Inner,Edgware Road,Paddington,0.82,1.85,2,2
Circle ,Inner,Paddington,Bayswater,0.98,1.65,2,2
Circle ,Inner,Bayswater,Notting Hill Gate,0.79,1.47,2,2
Circle ,Inner,Notting Hill Gate,High Street Kensington,0.93,1.58,3.57,3.36
Circle ,Inner,High Street Kensington,Gloucester Road,0.93,1.8,2.66,2.9
Circle ,Inner,Gloucester Road,South Kensington,0.74,1.43,1.5,1.5
Circle ,Inner,South Kensington,Sloane Square,1.22,1.98,2,2
Circle ,Inner,Sloane Square,Victoria,1.05,1.8,2,2
Circle ,Inner,Victoria,St James's Park,0.72,1.42,1.5,1.5
Circle ,Inner,St James's Park,Westminster,0.76,1.5,2,2
Circle ,Inner,Westminster,Embankment,0.69,1.37,2,2
Circle ,Inner,Embankment,Temple,0.71,1.37,2,2
Circle ,Inner,Temple,Blackfriars,0.76,1.4,2,2
Circle ,Inner,Blackfriars,Mansion House,0.61,1.52,1.95,1.52
Circle ,Inner,Mansion House,Cannon Street,0.31,0.98,1,1
Circle ,Inner,Cannon Street,Monument,0.34,0.97,1.5,1.5
Circle ,Inner,Monument,Tower Hill,0.68,1.8,2,2.07
Circle ,Inner,Tower Hill,Aldgate,0.5,1.3,4.05,3.18
Circle ,Inner,Aldgate,Liverpool Street,0.61,1.75,2,2.42
Circle ,Inner,Liverpool Street,Moorgate,0.51,1.32,1.5,1.5
Circle ,Inner,Moorgate,Barbican,0.64,1.38,1.5,1.5
Circle ,Inner,Barbican,Farringdon,0.51,1.2,1.92,1.51
Circle ,Inner,Farringdon,King's Cross,1.85,3.12,3.5,3.5
Circle ,Inner,King's Cross,Euston Square,0.85,1.65,2,2
Circle ,Inner,Euston Square,Great Portland Street,0.61,1.3,1.5,1.5
Circle ,Inner,Great Portland Street,Baker Street,0.92,1.57,2.9,2.07
Circle ,Inner,Baker Street,Edgware Road,0.72,1.88,3.6,3.08
Circle ,Outer,Edgware Road,Baker Street,0.72,1.47,2.84,2.5
Circle ,Outer,Baker Street,Great Portland Street,0.92,1.9,2,2
Circle ,Outer,Great Portland Street,Euston Square,0.61,1.25,1.5,1.5
Circle ,Outer,Euston Square,King's Cross,0.85,1.75,2,2
Circle ,Outer,King's Cross,Farringdon,1.85,2.98,3.5,3.5
Circle ,Outer,Farringdon,Barbican,0.51,1.22,1.5,1.5
Circle ,Outer,Barbican,Moorgate,0.64,1.32,1.53,1.5
Circle ,Outer,Moorgate,Liverpool Street,0.51,1.18,1.95,1.51
Circle ,Outer,Liverpool Street,Aldgate,0.61,2.18,2.55,2.51
Circle ,Outer,Aldgate,Tower Hill,0.5,1.37,2.02,2.1
Circle ,Outer,Tower Hill,Monument,0.68,1.48,1.5,1.5
Circle ,Outer,Monument,Cannon Street,0.34,0.88,1,1
Circle ,Outer,Cannon Street,Mansion House,0.31,0.93,1.5,1.5
Circle ,Outer,Mansion House,Blackfriars,0.61,1.22,1.52,1.5
Circle ,Outer,Blackfriars,Temple,0.76,1.37,1.5,1.5
Circle ,Outer,Temple,Embankment,0.71,1.43,2,2.01
Circle ,Outer,Embankment,Westminster,0.69,1.4,1.5,1.5
Circle ,Outer,Westminster,St James's Park,0.76,1.52,1.5,1.5
Circle ,Outer,St James's Park,Victoria,0.72,1.33,2,2
Circle ,Outer,Victoria,Sloane Square,1.05,1.75,2,2
Circle ,Outer,Sloane Square,South Kensington,1.22,2,2.98,2.5
Circle ,Outer,South Kensington,Gloucester Road,0.74,1.48,2.02,2.54
Circle ,Outer,Gloucester Road,High Street Kensington,0.93,2.23,3.98,2.92
Circle ,Outer,High Street Kensington,Notting Hill Gate,0.93,1.68,2,2
Circle ,Outer,Notting Hill Gate,Bayswater,0.79,1.77,2,2
Circle ,Outer,Bayswater,Paddington,0.98,1.63,2.45,2.01
Circle ,Outer,Paddington,Edgware Road,0.82,2.15,3.71,3.72
District,Westbound,Upminster,Upminster Bridge,1.24,2.08,2,2.03
District,Westbound,Upminster Bridge,Hornchurch,1.26,1.78,2,2
District,Westbound,Hornchurch,Elm Park,1.5,1.98,2.5,2.5
District,Westbound,Elm Park,Dagenham East,2.37,2.77,3.07,3.18
District,Westbound,Dagenham East,Dagenham Heathway,1.35,1.83,2,2
District,Westbound,Dagenham Heathway,Becontree,1.37,1.88,2.5,2.5
District,Westbound,Becontree,Upney,1.87,2.33,2.5,2.5
District,Westbound,Upney,Barking,1.38,1.92,2.66,3.82
District,Westbound,Barking,East Ham,2.29,2.87,3,3
District,Westbound,East Ham,Upton Park,1.4,2,2.5,2.5
District,Westbound,Upton Park,Plaistow,1.29,1.93,2,2.01
District,Westbound,Plaistow,West Ham,0.76,1.5,1.5,1.5
District,Westbound,West Ham,Bromley by Bow,1.37,2.12,2,2
District,Westbound,Bromley by Bow,Bow Road,1.01,2.23,2.5,2.5
District,Westbound,Bow Road,Mile End,0.55,1.27,1.5,1.5
District,Westbound,Mile End,Stepney Green,1.05,1.72,2,2
District,Westbound,Stepney Green,Whitechapel,1,2.63,3.54,3.51
District,Westbound,Whitechapel,Aldgate East,0.82,2.18,2.46,2.05
District,Westbound,Aldgate East,Tower Hill,0.8,1.87,3.03,3.65
District,Westbound,Tower Hill,Monument,0.68,1.48,1.5,1.5
District,Westbound,Monument,Cannon Street,0.34,0.88,1,1
District,Westbound,Cannon Street,Mansion House,0.31,0.93,1.5,1.5
District,Westbound,Mansion House,Blackfriars,0.61,1.22,1.5,1.5
District,Westbound,Blackfriars,Temple,0.76,1.37,1.5,1.5
District,Westbound,Temple,Embankment,0.71,1.43,2,2
District,Westbound,Embankment,Westminster,0.69,1.4,1.5,1.5
District,Westbound,Westminster,St James's Park,0.76,1.52,1.5,1.5
District,Westbound,St James's Park,Victoria,0.72,1.33,2,2
District,Westbound,Victoria,Sloane Square,1.05,1.75,2,2
District,Westbound,Sloane Square,South Kensington,1.22,2,3,2.5
District,Westbound,South Kensington,Gloucester Road,0.74,1.48,2,2.01
District,Westbound,Gloucester Road,Earls Court,0.93,1.82,3.04,3.59
District,Westbound,Edgware Road,Paddington,0.82,1.85,2,2
District,Westbound,Paddington,Bayswater,0.98,1.65,2,2
District,Westbound,Bayswater,Notting Hill Gate,0.79,1.47,2,2
District,Westbound,Notting Hill Gate,High Street Kensington,0.93,1.58,3.28,3.36
District,Westbound,High Street Kensington,Earls Court,1.26,2.72,4.11,3.82
District,Westbound,Earls Court,Kensington (Olympia),1.54,3.08,3,3
District,Westbound,Earls Court,West Brompton,0.6,1.42,1.5,1.5
District,Westbound,West Brompton,Fulham Broadway,0.84,1.55,1.5,1.5
District,Westbound,Fulham Broadway,Parsons Green,0.79,1.5,2,2
District,Westbound,Parsons Green,Putney Bridge,0.95,2.32,2.5,2.5
District,Westbound,Putney Bridge,East Putney,1.11,2.18,2,2
District,Westbound,East Putney,Southfields,1.53,2.35,2.5,2.5
District,Westbound,Southfields,Wimbledon Park,1.45,2.05,2.5,2.51
District,Westbound,Wimbledon Park,Wimbledon,1.5,3.5,3.02,3.08
District,Westbound,Earls Court,West Kensington,0.9,1.62,2,2
District,Westbound,West Kensington,Barons Court,0.64,1.32,1.5,1.5
District,Westbound,Barons Court,Hammersmith,0.68,1.33,1.5,1.5
District,Westbound,Hammersmith,Ravenscourt Park,0.93,1.63,2,2
District,Westbound,Ravenscourt Park,Stamford Brook,0.77,1.37,1.5,1.5
District,Westbound,Stamford Brook,Turnham Green,0.55,1.17,1.97,1.58
District,Westbound,Turnham Green,Chiswick Park,0.95,1.58,2,2
District,Westbound,Chiswick Park,Acton Town,1.22,1.83,2.63,2.06
District,Westbound,Acton Town,Ealing Common,1.03,1.5,2,2
District,Westbound,Ealing Common,Ealing Broadway,1.5,3.5,3.5,3.54
District,Westbound,Turnham Green,Gunnersbury,1.59,2.28,3.15,3
District,Westbound,Gunnersbury,Kew Gardens,1.71,2.43,2.5,2.5
District,Westbound,Kew Gardens,Richmond,2.14,4.1,3.57,3.5
District,Eastbound,Ealing Broadway,Ealing Common,1.5,2.67,3,3
District,Eastbound,Ealing Common,Acton Town,1.03,1.9,3.26,2.96
District,Eastbound,Acton Town,Chiswick Park,1.22,1.8,2,2
District,Eastbound,Chiswick Park,Turnham Green,0.95,1.48,2.07,2.09
District,Eastbound,Turnham Green,Stamford Brook,0.55,1.15,1.5,1.5
District,Eastbound,Stamford Brook,Ravenscourt Park,0.77,1.4,1.5,1.5
District,Eastbound,Ravenscourt Park,Hammersmith,0.93,1.85,2,2
District,Eastbound,Hammersmith,Barons Court,0.68,1.43,2,2
District,Eastbound,Barons Court,West Kensington,0.64,1.28,1.5,1.5
District,Eastbound,West Kensington,Earls Court,0.9,2.17,2.63,3.3
District,Eastbound,Richmond,Kew Gardens,2.14,3.1,3.02,3
District,Eastbound,Kew Gardens,Gunnersbury,1.71,2.42,3,3
District,Eastbound,Gunnersbury,Turnham Green,1.59,2.6,4.02,3.67
District,Eastbound,Wimbledon,Wimbledon Park,1.5,2.82,3,3
District,Eastbound,Wimbledon Park,Southfields,1.45,2.18,2,2
District,Eastbound,Southfields,East Putney,1.53,2.37,2.5,2.5
District,Eastbound,East Putney,Putney Bridge,1.11,1.85,2,2
District,Eastbound,Putney Bridge,Parsons Green,0.95,1.92,2,2
District,Eastbound,Parsons Green,Fulham Broadway,0.79,1.48,2,2
District,Eastbound,Fulham Broadway,West Brompton,0.84,1.57,1.5,1.5
District,Eastbound,West Brompton,Earls Court,0.6,1.42,3.44,3.24
District,Eastbound,Kensington (Olympia),Earls Court,1.54,2.73,3.65,3.94
District,Eastbound,Earls Court,High Street Kensington,1.26,3.05,3.58,3.12
District,Eastbound,High Street Kensington,Notting Hill Gate,0.93,1.68,2,2
District,Eastbound,Notting Hill Gate,Bayswater,0.79,1.77,2,2
District,Eastbound,Bayswater,Paddington,0.98,1.63,2.45,2.01
District,Eastbound,Paddington,Edgware Road,0.82,2.15,2.5,2.5
District,Eastbound,Earls Court,Gloucester Road,0.93,1.92,2.53,2.65
District,Eastbound,Gloucester Road,South Kensington,0.74,1.43,1.5,1.5
District,Eastbound,South Kensington,Sloane Square,1.22,1.98,2,2
District,Eastbound,Sloane Square,Victoria,1.05,1.8,2,2
District,Eastbound,Victoria,St James's Park,0.72,1.42,1.5,1.5
District,Eastbound,St James's Park,Westminster,0.76,1.5,2,2
District,Eastbound,Westminster,Embankment,0.69,1.37,2,2
District,Eastbound,Embankment,Temple,0.71,1.37,2,2
District,Eastbound,Temple,Blackfriars,0.76,1.4,2,2
District,Eastbound,Blackfriars,Mansion House,0.61,1.52,1.98,1.52
District,Eastbound,Mansion House,Cannon Street,0.31,0.98,1,1
District,Eastbound,Cannon Street,Monument,0.34,0.97,1.5,1.5
District,Eastbound,Monument,Tower Hill,0.68,1.8,2.08,2.43
District,Eastbound,Tower Hill,Aldgate East,0.8,1.88,2.91,2.21
District,Eastbound,Aldgate East,Whitechapel,0.82,2.17,2.72,2.76
District,Eastbound,Whitechapel,Stepney Green,1,2.05,2,2
District,Eastbound,Stepney Green,Mile End,1.05,1.73,2,2
District,Eastbound,Mile End,Bow Road,0.55,1.27,1.51,1.5
District,Eastbound,Bow Road,Bromley by Bow,1.01,2.12,2,2
District,Eastbound,Bromley by Bow,West Ham,1.37,2,2,2
District,Eastbound,West Ham,Plaistow,0.76,1.43,2.04,2
District,Eastbound,Plaistow,Upton Park,1.29,1.97,2,2
District,Eastbound,Upton Park,East Ham,1.4,2.02,2,2
District,Eastbound,East Ham,Barking,2.29,3.78,3.9,4.06
District,Eastbound,Barking,Upney,1.38,1.97,2.05,2.01
District,Eastbound,Upney,Becontree,1.87,2.33,2.5,2.51
District,Eastbound,Becontree,Dagenham Heathway,1.37,1.88,2.5,2.51
District,Eastbound,Dagenham Heathway,Dagenham East,1.35,1.85,2.22,2.3
District,Eastbound,Dagenham East,Elm Park,2.37,2.85,3,3
District,Eastbound,Elm Park,Hornchurch,1.5,2.05,2.5,2.5
